전통주명,도수,규격,주원료,제조사,가격,주종,판매 url,정보,맛,안주,,,,
오목대,5,"1,000ml","보리(국내산), 맥아(국내산), 말토텍스트린, 호프펠렛, 효모, 정제효소제, 정제수",농업회사법인 동문거리양조장(주),￦27000(1000ml*3병)(가격은 판매처 별로 상이할 수 있습니다),기타주류,https://shopping.naver.com/fresh/traditionalalcohol/stores/100275247,'오목대'는 검은 빛이 감돌아 전주 한옥마을의 기와지붕을 떠올리게 하는 술이다. 구운 맥아를 사용하여 초콜릿 또는 커피와 같은 구수하고 달콤한 향과 여운이 매력적인 제품이다. 제조사 전주술로시티는 3013년 설립 때부터 국산 보리를 원료로 사용하여 제품을 생산하였으며 2018년부터는 전북의 무농약 보리를 사용하여 보다 자연친화적이고 맛 있는 술을 생산하고 있다.,"단맛:2, 신맛:3, 청량감:4, 바디감:3",기름진 음식,,,,
경기전,5,1000ml,"국내산 보리, 맥아, 호프펠렛, 효모, 정제효소제, 정제수",전주술로시티,￦27000(1000ml*3병)(가격은 판매처 별로 상이할 수 있습니다),기타주류,https://shopping.naver.com/fresh/traditionalalcohol/stores/100275247,"'경기전'은 수줍은 붉은 빛이 매력적인 술로 국내산 보리 특유의 맛과 향이 그대로 배어 있다. 혀에 닿는 순간 고소한 비스킷의 맛, 그리고 입안에 감기는 허브의 쓴맛과 소나무에서 느껴지는 흙 내음이 조화를 이루고 있다. 제조사 전주술로시티는 3013년 설립 때부터 국산보리를 원료로 사용하여 제품을 생산하였으며 2018년부터는 전북의 무농약 보리를 사용하여 보다 자연친화적이고 맛 있는 술을 생산하고 있다.","단맛:2, 신맛:3, 청량감:4, 바디감:2",없음,,,,
SSOA-포도,5,355ml,국내산 포도,㈜포천조술당,,,,,,,,,,
지평 옛 생 막걸리,5,"1,700ml","밀, 정제수, 국, 분말종국, 효모, 정제효소 등",지평주조,"￦2,500 (가격은 판매처 별로 상이할 수 있습니다.)",탁주,http://jpjujo.modoo.at/,"지평 생 옛 막걸리는 밀입국하여 미숙성된 주로써, 묵직하고 구수한 맛의 옛스러운 막걸리의 맛이 그대로 담겨있는 막걸리다. 옛날 그 맛을 그리워 하시는 사람이라면 가장 그 기억을 떠올리기에 좋은 막걸리다.","단맛:4, 신맛:1, 청량감:2, 바디감:2",파김치,,,,
지평 생 쌀막걸리,5,"700ml, 1,700ml","쌀(국내산), 정제수, 국, 효모, 정제효소 등",지평주조,"￦2,700 (가격은 판매처 별로 상이할 수 있습니다.)",탁주,http://jpjujo.modoo.at/,"지평 생 쌀막걸리는 국내산 쌀을 이용하여 빚는 술로, 밀 막걸리와 다르게 부드러운 목 넘김과 깔끔함을 가지고 있다. 큰 용량에도 저렴한 가격으로 부담 없이 찾을 수 있는 것 또한 장점이다.","단맛:4, 신맛:1, 청량감:4, 바디감:2",디저트:야채,,,,
은자골 생 탁배기,5,750ml,국내산 쌀,은척양조장,"￦1,500 (가격은 판매처 별로 상이할 수 있습니다.)",탁주,http://takbaeki.modoo.at/,"은척 양조장이 위치한 상주는 '삼백의 고을'이라 하여 쌀, 누에, 곶감의 고장으로 잘 알려져 있다. 3대째 이어지고 있는 발효실과 백 년이 넘은 술독이 아직도 현역으로 제 몸을 비우고 채우는 일을 계속하고 있다. 은척 양조장의 생 탁배기는 상주지역 햇 상주삼백쌀과 전통누룩을 원료로 하여 빚은 막걸리로, 쌀 막걸리 특유의 부드러운 목넘김을 가지고 있으며 청량감이 일품인 막걸리다.","단맛:1, 신맛:3, 청량감:3, 바디감:3",전/무침:파전,,,,
유자생막걸리,5,750ml,"경기미 75%, 유자 국내산20% , 맥아당 5%",배혜정도가,￦1800(가격은 판매처 별로 상이할 수 있습니다.),생탁주,https://shopping.naver.com/fresh/traditionalalcohol/stores/100069102,"배혜정도가의 유자 생 막걸리는 우리쌀과 국내산 유자과즙이 20% 함유된 웰빙 막걸리이다. 몸에 좋은 유자를 사용하여 막걸리를 제조한 제품으로서 상큼한 유자향과 색으로 소비자의 오감을 충족시키고, well-being trend에 맞추어 다양한 효능을 가진 유자를 5%의 낮은 알코올 도수로 개발해 남녀 누구나 부담없이 즐길 수 있는 막걸리이다.","단맛:2, 신맛:3, 청량감:3, 바디감:1",없음,,,,
시나브로 에뚜왈 로제 스파클링,5,750ml,포도(캠벨얼리),불휘농장,"￦30,000 (가격은 판매처 별로 상이할 수 있습니다)",과실주,https://shopping.naver.com/fresh/traditionalalcohol/stores/100223357/products/3306455417,시나브로 에뚜왈 로제 스파클링 와인'은 로제와인을 베이스로 탄산을 넣어 만든 와인이다. 입안에서 느껴지는 무수한 탄산 기포는 와인 이름처럼 밤하늘에 반짝이는 별들을 떠올리게 한다. 2016년 아시아와인 트로피 은상을 수상하며 맛과 품질을 인정 받았다. 브랜드명 '시나브로'는 '나도 모르는 사이 조금씩'이라는 순우리말로 소비자가 시나브로 반하게 되는 매력적인 와인을 만들자는 와이너리의 소망을 담고 있다.,"단맛:2, 신맛:3, 청량감:4, 바디감:2",디저트:샐러드,,,,
편백숲 산소막걸리,5.2,750ml,"쌀, 사과농축액,누룩,올리고당,아스파탐",청산녹수,"￦1,900 (가격은 판매처 별로 상이할 수 있습니다)",탁주,https://smartstore.naver.com/bluegreenk/products/4442220451,편백숲 산소막걸리는 제조사 청산녹수에서 개발한 O2 발효기술과 한국식품연구원이 찾은 토종효모를 사용하여 부드럽고 새콤달콤한 청량한 산소 같은 느낌의 막걸리다. 산소막걸리는 O2 발효기술뿐 아니라 효모가 발효할 때 자연적으로 발생하는 바나나 또는 멜론 향기를 막걸리에 담기 위해 업계에서는 매우 이례적으로 15℃ 이하의 극저온에서 장기간 발효하는 비용이 많이 들어가는 방법을 채택하여 맛과 향기 두 가지 측면에서 모두 국내 막걸리 수준을 한 단계 높였다는 평가를 받고 있다.,"단맛:3, 신맛:3, 청량감:3, 바디감:3",전/무침:전류,,,,
편백숲 산소막걸리 순수령,5.8,750ml,"찹쌀, 맵쌀, 누룩",청산녹수,"￦4,000 (가격은 판매처 별로 상이할 수 있습니다)",탁주,https://smartstore.naver.com/bluegreenk/products/4568760416,편백숲 산소막걸리는 제조사 청산녹수에서 개발한 O2 발효기술과 한국식품연구원이 찾은 토종효모를 사용하여 부드럽고 새콤달콤한 청량한 산소 같은 느낌의 막걸리다. 산소막걸리는 O2 발효기술뿐 아니라 효모가 발효할 때 자연적으로 발생하는 바나나 또는 멜론 향기를 막걸리에 담기 위해 업계에서는 매우 이례적으로 15℃ 이하의 극저온에서 장기간 발효하는 비용이 많이 들어가는 방법을 채택하여 맛과 향기 두 가지 측면에서 모두 국내 막걸리 수준을 한 단계 높였다는 평가를 받고 있다.,"단맛:3, 신맛:1, 청량감:1, 바디감:4","디저트:호두, 땅콩",,,,
대잎 생동동주 (단종),6,1700ml,"국내산 쌀, 좁쌀, 정제효소, 젖산, 효모, 아스파탐, 영지, 생각, 정제수",죽향도가,￦2500 (가격은 판매처 별로 상이할 수 있습니다),탁주,https://dyricewine.modoo.at/,"대나무의 고장, 담양에서 빚은 술이라 대잎 생동동주라 이름지었다. 담양에서 재배한 쌀을 원료로 술을 빚고 특유의 맛을 내기 위해 영지, 생강을 첨가한 제품이다. 저온발효숙성으로 효모를 최대한 살려서 쌀알이 오래 남아 있고 맛도 깔끔하다. 3대를 이어온 전통주 장인 권재헌씨가 빚은 담양을 대표하는 전통술이다.","단맛:1, 신맛:2, 청량감:3, 바디감:2",전/무침:죽순무침,,,,
까메오 막걸리,6,550ml,"정제수, 쌀, 효모, 누룩, 과당 등",낙천,￦5000 (가격은 판매처 별로 상이할 수 있습니다.),살균탁주,http://nakchun.modoo.at/,"까메오 막걸리는 국내산 쌀을 원료로, 지장수의 미네랄이 풍부하게 함유되어 있는 것이 특징이다. 아스파탐을 넣지 않으며 무첨가제로 빚어 뒤끝 없이 깔끔해 세계인의 입맛을 사로잡은 낙천의 대표 프리미엄 막걸리다.","단맛:3, 신맛:1, 청량감:2, 바디감:2",디저트:샐러드,,,,
다랭이팜 유자 막걸리,6,750ml,"정제수, 유기농7분도쌀, 친환경유자원액, 혼합제과 누룩",농업회사법인 주식회사 다랭이팜,"￦4,000 (가격은 판매처 별로 상이할 수 있습니다.)",탁주,https://shopping.naver.com/fresh/traditionalalcohol/stores/100077740,다랭이팜의 유자막걸리는 유기농 7분도 현미와 최고의 원료로 빚은 생 막걸리에 유기농 유자원액을 넣어 만든 막걸리다. 아스파탐을 넣지 않아 달지 않고 남해 유자의 싱그러운 향기를 그대로 느낄 수 있다.,"단맛:1, 신맛:5, 청량감:2, 바디감:2",해산물:아구포,,,,
동백우리쌀생막걸리,6,750ml,"정제수, 쌀 소맥분 물엿, 곡자, 효모, 조제종국, 정제효소, 아스파탐,아세설팜칼륨",(주)동백양조,,,,,,,,,,
나루 생 막걸리 6도,6,935ml,"정제수, 쌀(국내산), 국, 효모(밀함유)",한강주조,"￦7,000 (가격은 판매처 별로 상이할 수 있습니다)",탁주,https://shopping.naver.com/fresh/traditionalalcohol/stores/100685599/products/4875685749,한강주조는 서울쌀만을 고집해 막걸리를 빚는다. 고성용 대표와 이상욱 이사가 의기투합해 만든 나루 생막걸리는 서울에서 생산된 지역특산주 1호이다. 한강주조는 서울 강서구에서 수확한 경복궁쌀을 사용하는데 친환경 우렁이농법으로 재배된 쌀이다. 쌀의 맛과 향을 최대한 살리고자 인공 감미료를 첨가하지 않고 일반 막걸리에 비해 쌀항유량을 월등히 높인 프리미엄 막걸리다.,"단맛:3, 신맛:3, 청량감:2, 바디감:2",육류:고기류,,,,
호두땅콩막걸리,6,750ml,"물, 쌀(국내산), 고과당, 국(밀), 땅콩(국내산)",배혜정도가,,,,,,,,,,
아띠,6,450ml,쌀(국내산),배상면주가,,,,,,,,,,
장수 생막걸리,6,750ml,"백미(국내산), 말토올리고당, 홍삼분말",서울장수주식회사,"￦1,200(가격은 판매처 별로 상이할 수 있습니다.)",탁주,https://seouljangsu.modoo.at/,장수 생 막걸리'는 효모균이 그대로 살아 있다. 국내산 백미를 사용해 장기저온숙성 방식으로 만들어져 영양이 풍부하고 자연발효에 의한 탄산과 어울려 감칠맛과 청량감이 일품입니다. 또한 고품격 전통 막걸리의 대명사로서 트림과 숙취도 거의 없어 오랜 시간 동안 사랑을 받고 있고 있다. '장수 생 막걸리'는 뚜껑이 흰색인 경우 국내산 쌀 100%를 사용한 제품이다.,"단맛:2, 신맛:3, 청량감:3, 바디감:3",없음,,,,
대대포 막걸리,6,750ml,쌀,담양죽향도가,"￦4,000 (가격은 판매처 별로 상이할 수 있습니다)",탁주,http://jhdg.co.kr/,대대포 생막걸리는 전남 담양을 대표하는 지역 막걸리로서 담양군에서 재배한 친환경 유기농쌀과 토종벌꿀을 사용하여 장기저온발효공법으로 제조한 프리미엄 막걸리다. 인공감미료를 첨가하지 않고 국내산 벌꿀과 천연감미료로 넣어 은은한 막걸리의 단맛을 자아내는 술이다. 대대포 생막걸리는 순천만 대대포 간척지에서 나는 쌀로 만들었다고 해서 붙여진 이름이다.,"단맛:3, 신맛:2, 청량감:2, 바디감:2, 균형감:4","육류:보쌈, 수육",,,,
동정춘막걸리,6,720ml,"국내산 쌀, 누룩, 정제수",술빚는전가네,,,,,,,,,,
우도땅콩전통주,6,750ml,"쌀, 우도땅콩",조은술 세종,￦4000 (가격은 판매처 별로 상이할 수 있습니다.),기타주류,https://shopping.naver.com/fresh/traditionalalcohol/stores/100068990,"연간 1,200만 명 이상의 관광객이 드나드는 제주도에 가면 빼놓을 수 없는 관광지인 우도, 우도는 섬이지만 땅이 비옥하여 어업보다는 농업이 발달한 섬이다. 여기에서 재배하는 땅콩은 작고 고소하기로 소문 나 있는데 이 땅콩을 원료로 고소한 맛과 향과 맛을 그대로 느껴볼 수 있는 술이 있다. 청주에서 나오는 조은술 세종의 우도 땅콩 전통주를 소개한다.","단맛:4, 신맛:1, 청량감:3, 바디감:3",없음,,,,
세종청주생막걸리,6,750ml / 1200ml,"쌀, 소맥분",조은술 세종,,탁주,http://www.joeunsulsj.co.kr,국내산 쌀과 함께 소맥분을 사용하여 소맥분 특유의 목 넘김과 함께 진한 맛을 느낄수 있는 청주의 대표 막걸리. 직접 배양한 효모와 100% 국내쌀과 고두밥을 청주의 맑은 물과 함께 저온 발효 시켜 숙성하여 빚은 술이다.,,전/무침:김치전,,,,
세종 알밤주,6,750ml,"정제수, 백미, 소맥분, 알밤(국내산), 전분당, 효모, 젖산",조은술 세종,￦1500 (가격은 판매처 별로 상이할 수 있습니다.),기타주류,https://shopping.naver.com/fresh/traditionalalcohol/stores/100068990,막걸리는 본디 다른 곡물이 섞이면 맛이 달라진다는 느낌보다 오히려 특색이 있어진다고 느껴지는 경우가 많다. 하지만 알밤주에는 세종의 노하우에 밤을 녹여 향기가 그윽하면서도 막걸리 특유의 새콤함까지 느낄 수 있는 아주 특색 있는 막걸리가 되었다. 막걸리에 거부감이 있는 사람도 거부감 없이 마실 수 있을 만큼 친근하게 마실 수 있는 것이 특징이다.,"단맛:4, 신맛:1, 청량감:3, 바디감:2",디저트:샐러드,,,,
지리산 정담 생쌀 막걸리,6,750ml,"쌀(국내산), 종국, 정제수, 누룩, 효모",운봉주조,￦1500(가격은 판매처 별로 상이할 수 있습니다.),탁주,https://herbsul.modoo.at/,'지리산 정담 생쌀 막걸리'는 40년 가까이 청정지역 지리산에서 술을 빚어온 '운봉주조'의 대표 막걸리이다. 지리산의 맑은물과 국내산쌀만을 사용하여 제조하는 막걸리로 한층 부드럽고 순한 맛으로 인기가 좋다. 농림축산식품부에서 '우리술 품질인증'을 받고 2013년 전라북도 우리술품평회에서 수상한 제품이다.,"단맛:1, 신맛:3, 청량감:2, 바디감:1",디저트:샐러드,,,,
영일만친구 막걸리,6,750ml,"국내산 쌀, 물엿, 우뭇가사리, 효모, 조제 종국, 정제효소제, 아스파탐, 젖산",동해명주,"￦15,000(750ml*9병)(가격은 판매처 별로 상이할 수 있습니다)",탁주,https://www.yangjo.com/,"영일만친구 막걸리'는 경북 포항을 대표하는 우리쌀로 빚은 막걸리이다. 대중가요 '영일만친구'로도 유명한 영일만은 포항을 상징적으로 나타내는 지명이기도 하다. '영일만친구 막걸리'는 포항시청에서 브랜드를 만들고, 포항공대에서 연구개발하고, 동해명주에서 생산한 제품으로 관청과 학계, 그리고 산업이 협력하여 스타 브랜드를 만든 대표적인 성공사례이기도 하다. 100% 포항쌀로 빚고 식유섬유가 풍부한 우뭇가사리가 첨가된 제품이다.","단맛:2, 신맛:2, 청량감:3, 바디감:2",전/무침:우뭇가사리 무침,,,,
얼떨결에,6,920ml,"쌀(국내산), 정제수, 정제효소, 효모, 젖산, 기타과장, 곡자(밀)",동강주조,"￦22,350(가격은 판매처 별로 상이할 수 있습니다.)",탁주,,얼떨결에 스파클링 막걸리는 영월지역에서 생산되는 햅쌀과 국내산 원료를 이용하여 술을빚는 강원도 영월의 지역특산주다. 얼떨결에 스파클링은 자연탄산이 많이 녹아있어 청량하다.,,육류:치킨,,,,
소양강 생 막걸리,6,750ml/ 1700ml,"백미, 소맥분, 정제수, 팽화미, 아스파탐, 물엿, 정제수","소양강도가(구, 천정양조장)","￦1,200 / ￦1,800 (가격은 판매처 별로 상이할 수 있습니다.)",탁주,http://sygdoga.modoo.at/,"소양강 생 막걸리는 100% 국내산 쌀을 이용하며 춘천의 깨끗한 자연환경 아래서 빚어내는 막걸리다. 일반적으로 기간이나 온도를 조절해 막걸리를 숙성하는 경우가 많지만, 소양강 생 막걸리 특유의 묵직한 맛을 위해 저온발효 공법으로 만들어 긴 숙성시간을 가지고 있다. 4계절을 가지고 있는 우리나라의 특성상 시기마다 원재료의 맛이 달라 봄, 여름, 가을, 겨울의 사계절마다 다른 맛이 나는 것이 특징이다.","단맛:1, 신맛:3, 청량감:2, 바디감:3",해산물:황태구이,,,,
국순당 생막걸리 대박,6,750ml,쌀,국순당,,탁주,http://drink.ksdb.co.kr/, 국순당의 생막걸리 ‘대박’은 막걸리 제조에 가장 중요한 원료인 누룩과 효모를 막걸리 빚기에 가장 적합하도록 국순당에서 직접 배양한 전통식 누룩과 막걸리 전용 효모를 사용해 막걸리 본연의 맛을 가장 잘 담아낸 제품이다. 대박 막걸리는 3단 발효법과 냉장숙성 공법을 도입해 막걸리 내의 불필요한 잡맛을 최대한 없애 막걸리 고유의 맛과 신선함을 최대한 유지할 수 있도록 개발됐다. 또 발효 이후 6도 이하에서 냉장숙성과정을 거쳐 목넘김이 부드럽고 잡맛을 잡아 줘 깔끔한 맛이 더욱 살아나도록 한 게 특징이다. 전체적으로 다른 막걸리보다 술을 빚는 과정에서 생성된 탄산 함량이 높아 탄산에서 느낄 수 있는 톡톡 터지는 듯한 청량감이 뛰어나다. 발효 과정 때 자연적으로 만들어지는 전통주 특유의 과일 향을 입안 가득 느낄 수 있다는 점도 매력적이다.,"단맛:2, 신맛:1, 청량감:4, 바디감:3","육류:돼지고기, 수육",,,,
송명섭 막걸리,6,500ml,"국내산쌀, 곡자, 정제수",태인합동주조장,"￦3,000(가격은 판매처 별로 상이할 수 있습니다.)",탁주,https://taein.modoo.at,"막걸리 마니아'들이 흔쾌히 국내 최고의 막걸리라고 손꼽는 '송명섭 막걸리'의 대표 송명섭 명인이 빚는 막걸리로 흔히 '송막'이라고 부르는 막걸리다. 직접 재배한 밀로 누룩을 만들고, 직접 재배한 쌀로 술을 빚는다. 무첨가 막걸리, 텁텁하고 시큼한 맛이 나는 막걸리, 단맛이 거의 느껴지지 않는 막걸리다. 대한민국 식품명인 제48호 송명섭 명인이 본인의 이름을 걸고 빚은 수제 막걸리이다.","단맛:1, 신맛:3, 청량감:3, 바디감:3",육류:기름진 고기류,,,,
선호 생막걸리,6,750ml,"국내산 쌀, 누룩, 효모, 정제효소, 천연감미료, 정제수",김포금쌀탁주영농조합법인,"￦1,700(가격은 판매처 별로 상이할 수 있습니다.)",탁주,https://shopping.naver.com/fresh/traditionalalcohol/stores/100194518,선호 생막걸리'는 최상급 풀질로 인정 받고 있는 '김포금쌀'을 원료로 만든 제품이다. 인공적인 감미료 대신 술 맛을 살려줄 천연감미료를 첨가한 막걸리로 신맛이나 단맛 어느 쪽도 튀는 부분 없이 청량감과 함께 뒤이어 오는 쓴맛이 상당히 매력적인 막걸리이다.,"단맛:2, 신맛:3, 청량감:3, 바디감:3","탕/전골:닭도리탕, 감자탕",,,,
안성맞춤 생막걸리,6,1000ml,"국내산 쌀, 누룩, 효모, 젖산, 정제효소, 정제수",한주양조,,탁주,http://hanjuy.kr.ecplaza.net,"쌀 본연의 맛이 살아 있는 생쌀발효법(무증자기법) 양조기술을 적용하여 만든 안성맞춤 생막걸리는 옛 막걸리의 향수를 불러 일으키는 정통 막걸리이다. 일반적인 750ml 보다 많은 1000ml 용량으로 출시되어 넉넉하게 마실 수 있으며 국세청에서 실시하는 주류품질인증에서 골드라벨을 받을 정도로 위생적으로 생산한 막걸리이다. ""안성맞춤 생막걸리""는 1989년 서울시 무형문화재로 지정된 ‘송절주’의 기능보유자 이정자 대표가 빚은 막걸리이다. 한주양조의 이성자 대표는 전통주의 전수와 보존, 사라져간 옛 술을 되살리는데 온갖 노력을 기울여왔으며 최상의 재료로 정직한 맛의 막걸리를 만들기 위해 최선을 다하고 있다.",,"육류:불고기, 육전",,,,
양촌 생 막걸리,6,750ml,"팽화미, 소맥분, 정제수, 물엿, 효소, 국 등",양촌양조,"￦30,000원 1박스 20개입 (가격은 판매처 별로 상이할 수 있습니다.)",탁주,http://yangchon.modoo.at/,"양촌 생 막걸리는 국내산 쌀과 소맥분과 누룩, 대둔산 자락의 천연암반수로 빚어 오랜 세월 논산 지역민들에게 사랑 받아온 전통방식의 토속 막걸리다. 장기 저온숙성 방식으로 빚은 막걸리는 자연발효 탄산에서 은은한 사과 향까지 느껴지며, 부드러운 목 넘김과 뒷끝 없는 감칠맛이 특징. 100년간 이어온 양촌양조의 역사를 그대로 담은 막걸리다.","단맛:2, 신맛:3, 청량감:2, 바디감:2",전/무침:두부와 겉절이 김치,,,,
김포 막걸리,6,750ml,"쌀, 누룩, 정제수",김포양조,"￦1,200(가격은 판매처 별로 상이할 수 있습니다.)",탁주,http://www.kimpo.co.kr,"1962년에 설립하여 현재 66년의 양조장 역사를 자랑하는 경기도 김포의 대표적인 양조장인 김포양조에서 생산한 막걸리이다. 엄선된 원료로 전통적인 비법으로 제조하면서도 위생적인 작업환경과 최첨단 현대시설장비로 제조하고 있다. 우리 몸에 좋은 효모균이 그대로 살아 있으며 자연 발효에 의한 탄산과 어우러져 전통탁주에서 느껴지는 감칠맛, 청량감이 뛰어난 제품이다.","단맛:2, 신맛:2, 청량감:3, 바디감:1",전/무침:파전,,,,
유자향주,6,750ml,"쌀(국내산), 유자(고흥산), 아스파탐",청정영농조합법인,,탁주,https://smartstore.naver.com/citronmakgeolli," 청정영농조합의 ‘유자향주’는 전국 유자 생산량의 35% 이상을 차지하고 있는 고흥군의 대표 특산주. 낙지, 굴, 매생이 등 고흥 대표음식인 9미 중 8미에 속한다. 유자청을 3년간 발효시켜 감초와 당귀 등 5종의 한약재를 넣고 20여 일간 숙성해 달콤한 맛이 특징이다. 젊은 여성층 에게 큰 인기를 얻고 있다.",,해산물:회,,,,
